Chapter,Term,Definition,
Unit 9 - Social Psychology,stereotype,a generalized (sometimes accurate but often overgeneralized) belief about a group of people.,
Unit 9 - Social Psychology,discrimination,unjustifiable negative behavior toward a group and its members.,
Unit 9 - Social Psychology,just-world phenomenon,the tendency for people to believe the world is just and that people therefore get what they deserve and deserve what they get.,
Unit 9 - Social Psychology,ingroup,“us”—people with whom we share a common identity.,
Unit 9 - Social Psychology,outgroup,“them”—those perceived as different or apart from our ingroup.,
Unit 9 - Social Psychology,ingroup bias,the tendency to favor our own group.,
Unit 9 - Social Psychology,scapegoat theory,the theory that prejudice offers an outlet for anger by providing someone to blame.,
Unit 9 - Social Psychology,other-race effect,the tendency to recall faces of one’s own race more accurately than faces of other races. Also called the cross-race effect and the own-race bias.,
Unit 9 - Social Psychology,aggression,any act intended to harm someone physically or emotionally.,
Unit 9 - Social Psychology,frustration-aggression principle,"the principle that frustration—the blocking of an attempt to achieve some goal—creates anger, which can generate aggression.",
Unit 9 - Social Psychology,social script,culturally modeled guide for how to act in various situations.,
Unit 9 - Social Psychology,mere exposure effect; mere exposure,the phenomenon that repeated exposure to novel stimuli increases liking of them.,
Unit 9 - Social Psychology,passionate love,"an aroused state of intense positive absorption in another, usually present at the beginning of a love relationship.",
Unit 9 - Social Psychology,companionate love,the deep affectionate attachment we feel for those with whom our lives are intertwined.,
Unit 9 - Social Psychology,equity,a condition in which people receive from a relationship in proportion to what they give to it.,
Unit 9 - Social Psychology,self-disclosure,the act of revealing intimate aspects of oneself to others.,
Unit 9 - Social Psychology,altruism,unselfish regard for the welfare of others.,
Unit 9 - Social Psychology,bystander effect; bystander,the tendency for any given bystander to be less likely to give aid if other bystanders are present.,
Unit 9 - Social Psychology,social exchange theory,"the theory that our social behavior is an exchange process, the aim of which is to maximize benefits and minimize costs.",
Unit 9 - Social Psychology,reciprocity norm,"an expectation that people will help, not hurt, those who have helped them.",
Unit 9 - Social Psychology,social-responsibility norm,an expectation that people will help those needing their help.,
Unit 9 - Social Psychology,conflict,"a perceived incompatibility of actions, goals, or ideas.",
Unit 9 - Social Psychology,social trap,"a situation in which the conflicting parties, by each pursuing their self-interest rather than the good of the group, become caught in mutually destructive behavior.",
Unit 9 - Social Psychology,mirror-image perceptions,"mutual views often held by conflicting people, as when each side sees itself as ethical and peaceful and views the other side as evil and aggressive.",
Unit 9 - Social Psychology,self-fulfilling prophecy,a belief that leads to its own fulfillment.,
Unit 9 - Social Psychology,Superordinate goals,Shared goals that override differences among people and require their cooperation.,
Unit 9 - Social Psychology,GRIT,Graduated and Reciprocated Initiatives in Tension-Reduction—a strategy designed to decrease international tensions.,
