Unit,Category,Term,Definition
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 13: Africa and the Atlantic World,Santeria,"A religious practice originating from Cuba that combines indigenous African beliefs with Catholicism, often involving rituals and the use of animal sacrifice."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 13: Africa and the Atlantic World,Songhay Empire,"A powerful West African empire that existed from the 13th to 19th century, known for its military strength and cultural achievements."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 13: Africa and the Atlantic World,Sunni,"Followers of Islam who believe that the first four caliphs were legitimate leaders and successors of the Prophet Muhammad, while Shiites believe that only one of the descendants of Ali is the rightful successor."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 13: Africa and the Atlantic World,Timbuktu,"A bustling trade hub located on the trans-Saharan trade route, known for its wealth of manuscripts, ivory, and gold."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 13: Africa and the Atlantic World,Triangular trade,"A historical practice where goods, people, and ideas were exchanged between Europe, Africa, and the Americas through triangular routes, leading to cultural exchanges but also exploitation."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 13: Africa and the Atlantic World,Voudou,"A spiritual practice rooted in West African religions, incorporating elements of ancestor worship, divination, and magic. It has its origins in the French colonial era in Haiti, but it's now widely practiced throughout the Caribbean and other parts of the Americas."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 14: Tradition and Change in East Asia,Analects of Confucius,"The ancient Chinese philosopher, Confucius, wrote this which contained his teachings on ethics and political science. It is one of the most significant texts in world history."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 14: Tradition and Change in East Asia,Bakufu,"The rule of warlords within Japan, often resulting in civil war."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 14: Tradition and Change in East Asia,Bunraku,"A traditional Japanese form of puppetry that combines music, dance, and storytelling through highly stylized movements, costumes, and masks. It dates back to the 17th century and continues to be performed as a cultural art form today."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 14: Tradition and Change in East Asia,Civil service examinations,"Tests or assessments that are administered by the government to determine eligibility and suitability for various civil service positions. These examinations assess an individual's knowledge, skills, and abilities relevant to the job requirements and can include multiple-choice questions, written essays, and practical exercises. The purpose is to ensure a fair and transparent hiring process, where candidates are evaluated based on their qualifications rather than personal connections or biases."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 14: Tradition and Change in East Asia,Daimyo,"In Japanese feudal society, a powerful lord or military leader of a province who had control over his own domain and was responsible for its defense."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 14: Tradition and Change in East Asia,The Dream of the Red Chamber,"A classic Chinese novel written during the Qing Dynasty, known for its intricate characters and social commentary on family, love, and fortune."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 14: Tradition and Change in East Asia,Eunuch,"An individual who has had his or her testicles removed and is often castrated as a result, resulting in a loss of fertility and sexual function."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 14: Tradition and Change in East Asia,Filial piety,"The practice of showing respect and obedience towards one's parents and ancestors, as well as fulfilling one's responsibilities to them."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 14: Tradition and Change in East Asia,Floating worlds,An archipelago consisting of a group of islands or isles; a chain of islands.
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 14: Tradition and Change in East Asia,Foot binding,"A practice of restraining women's feet with tightly-laced bands, resulting in small and deformed feet, which was common in ancient China as a sign of status and beauty."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 14: Tradition and Change in East Asia,Francis Xavier,"A 16th century Spanish missionary, born in Barcelona, who converted thousands of people in Asia and Japan to Christianity, making him one of the most influential missionaries of his time."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 14: Tradition and Change in East Asia,Great Wall,"A long wall built by China centuries ago to protect against invaders, stretching over 13,000 miles and considered one of the most impressive architectural feats in human history."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 14: Tradition and Change in East Asia,Hongwu,"During the Ming Dynasty, he introduced the Tribute System which required foreign nations to submit tribute and gifts to demonstrate their submission to the Chinese emperor."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 14: Tradition and Change in East Asia,Jesuits,"A religious order of Catholic priests who spread Christianity throughout Europe during the 16th and 17th centuries, often through missionary work and education. They played an important role in the cultural and intellectual history of this period."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 14: Tradition and Change in East Asia,Journey to the West,"A Chinese folktale about a monk and his companions on a magical journey to obtain Buddhist scriptures, filled with adventures, challenges, and supernatural beings."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 14: Tradition and Change in East Asia,Kabuki,"A traditional form of Japanese theater characterized by elaborate costumes, makeup, and exaggerated movements. It often tells stories from classical literature or historical events."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 14: Tradition and Change in East Asia,Kangxi,"An era of the Qing Dynasty, lasted from 1661 to 1722 and is known as one of China’s golden ages due to its cultural prosperity."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 14: Tradition and Change in East Asia,Manchu,"A group of East Asian tribes that formed an empire under the rule of the Qing dynasty in China. They had their own language and culture, which influenced Chinese art, literature, and cuisine."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 14: Tradition and Change in East Asia,Matteo Ricci,"A Jesuit missionary who traveled to China and established friendly relations with the Chinese emperor, leading to increased knowledge and understanding between China and Europe. He promoted cultural exchange and religious tolerance."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 14: Tradition and Change in East Asia,Ming dynasty,"A powerful Chinese empire during the 14th to 17th centuries known for its advanced technology, art, and trade, led by the emperor Hongwu."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 14: Tradition and Change in East Asia,Neo-Confucianism,"A philosophical system that emerged in China during the Song Dynasty, emphasizing moral and ethical values derived from Confucian teachings. It had a significant impact on Chinese society and culture, shaping political ideologies and societal norms."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 14: Tradition and Change in East Asia,Nurhaci,"A key figure in the establishment of the Manchu Empire, unifying China and establishing the Qing dynasty."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 14: Tradition and Change in East Asia,Qing dynasty,"Also called the Manchu Empire, was a Chinese imperial dynasty that ruled from 1644 until 1912. It was known for its military and economic power, as well as for its contributions to art, literature, and science."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 14: Tradition and Change in East Asia,Sengoku,"A period of civil wars in feudal Japan that lasted from 1467 to 1603, characterized by political instability and constant warfare between various warlords."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 14: Tradition and Change in East Asia,Shogun,A powerful feudal lord who controlled Japan during the medieval period.
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 14: Tradition and Change in East Asia,Tokugawa,"A period of time in Japan, spanning from 1603 to 1867 when the country was ruled by the Tokugawa shogunate. During this time, Japan had a closed-door policy and limited contact with foreign nations."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 14: Tradition and Change in East Asia,Tokugawa Ieyasu,"A Japanese shogun who ruled from 1603-1868, unifying most of Japan under his power."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 14: Tradition and Change in East Asia,Ukiyo,"Also known as Edo period Japan, was a time of great cultural and artistic flourishing during the 17th and 18th centuries in which wealthy merchants and nobles enjoyed an active social life characterized by pleasure districts."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 14: Tradition and Change in East Asia,Wanli,"During the Ming Dynasty, China experienced significant cultural and economic growth under the reign of this person."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 14: Tradition and Change in East Asia,Yongle,"During the Ming dynasty, the Chinese emperor implemented policies to consolidate power, such as building the Great Wall and promoting the arts, resulting in a golden age of cultural and economic prosperity."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 14: Tradition and Change in East Asia,Yongle Encyclopedia,"A massive Chinese encyclopedia compiled under the Ming Dynasty emperor, Yongle, between 1402 and 1424 CE. It contained over one million entries and covered topics such as history, geography, science, art, literature, and philosophy, making it one of the largest and most comprehensive encyclopedias of its time."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 14: Tradition and Change in East Asia,Zheng He,"Chinese explorer who led several maritime expeditions during the 15th century, showcasing China's power and diplomatic relations with other nations."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 14: Tradition and Change in East Asia,Zhu Xi,"A Chinese philosopher, mathematician, astronomer, and calligrapher from the Song Dynasty (960-1279 AD). He is known as one of China's greatest philosophers and is credited with the creation of the Seal Script. He also made significant contributions to art, mathematics, and astronomy during his lifetime."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 15: Empires in South and Southwest Asia,Akbar,"Emperor of India, known for his cultural and religious tolerance towards various faiths and sects."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 15: Empires in South and Southwest Asia,Aurangzeb,"An Islamic empire that ruled much of South Asia, Central Asia, and Persia from 1661-1707."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 15: Empires in South and Southwest Asia,Babur,The first Mughal emperor who conquered much of the Indian subcontinent and established the Mughal Empire in the 16th century.
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 15: Empires in South and Southwest Asia,Battle of Chaldiran,Fought between two Ottoman armies that led to an imperial defeat and marked the end of an era for Turkey. It was a major European power battle.
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 15: Empires in South and Southwest Asia,Devshirme,"The practice of forcibly recruiting and conscripting children into the military, particularly during the Ottoman Empire."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 15: Empires in South and Southwest Asia,Dhimmi,"A person who is allowed to live in a dominant religion's territory but pays a special tax to the ruler, often referred to as dhimmis or non-Muslims."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 15: Empires in South and Southwest Asia,Fatehpur Sikri,"A city located in India that served as the capital of Mughal Emperor Akbar and his successors during the 16th and 17th centuries. It was known for its grand architecture, including the iconic Humayun's Tomb and Fateh Burj, which were built by Akbar himself."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 15: Empires in South and Southwest Asia,Ghazi,"A leader or ruler of Arab tribes, often portrayed as a warrior who defends his people from invaders or enemies."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 15: Empires in South and Southwest Asia,Isfahan,"A city located in Iran, known for its beautiful mosques and architecture. It was an important city during the medieval Islamic period, serving as a center of learning, trade, and culture."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 15: Empires in South and Southwest Asia,Ismail,A 14th-century explorer from the Ottoman Empire known for his voyages of exploration.
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 15: Empires in South and Southwest Asia,Istanbul,"A city located at the crossroads of Europe and Asia, serving as the capital of Turkey."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 15: Empires in South and Southwest Asia,Jahangir,"One of Mughal Empire's most renowned emperors, known for his great accomplishments."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 15: Empires in South and Southwest Asia,Janissaries,"Elite military units of the Ottoman Empire, known for their discipline and loyalty to the Sultan."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 15: Empires in South and Southwest Asia,Jizya,"Tax imposed on non-Muslims by Muslim rulers during the Ottoman Empire as an act of religious discrimination, requiring them to pay a fixed amount of money as a form of tribute."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 15: Empires in South and Southwest Asia,Kanun,"An important system of laws and customs established by sultanates in medieval Arabia. It was used as a way to maintain order and regulate society within the sultanate, while also unifying its people under one set of laws and practices."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 15: Empires in South and Southwest Asia,Mehmed the Conqueror,"Also known as “the Conqueror’s conqueror,” was an Ottoman Empire ruler from 1444 to 1451. He is remembered for his military campaigns which led to a vast expansion of the Empire's territory, including many European countries."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 15: Empires in South and Southwest Asia,Millet,"A type of small, round seed that belongs to the grass family and is commonly used as food or animal feed."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 15: Empires in South and Southwest Asia,Mughal Empire,"A powerful empire that ruled over much of South Asia from the 16th to 19th centuries, known for its grand architecture and cultural influence."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 15: Empires in South and Southwest Asia,Mumtaz Mahal,A mausoleum built by Mughal Emperor Shah Jahan in memory of his wife Mumtaz Mahal.
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 15: Empires in South and Southwest Asia,Osman Bey,A leader of the Ottoman Empire who led a rebellion against the empire during the 19th century.
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 15: Empires in South and Southwest Asia,Ottoman Empire,"One of the world's first and longest-lasting Islamic empires, established in 1299 and falling in 1922."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 15: Empires in South and Southwest Asia,Qizilbash,"An ethnic group who migrated from Central Asia and played a significant role in shaping the history of South Asia, particularly in Iran. They are known for their strong Islamic faith and their contributions to architecture, literature, and politics."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 15: Empires in South and Southwest Asia,Safavid Empire,"An Iranian empire that existed from 1501-1736 and left an influential mark on Persian culture, art, and architecture with its grand palaces."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 15: Empires in South and Southwest Asia,Shah Abbas the Great,"The founder of the Safavid dynasty, known for his military campaigns against the Ottoman Empire and his patronage of art and culture, especially during the 17th century."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 15: Empires in South and Southwest Asia,Shiism,"A branch of Islam that believes in the continuation of the Prophet Muhammad's line of succession through his descendant, Ali. It emphasizes the importance of the Imams and their role as leaders."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 15: Empires in South and Southwest Asia,Sinan Pasha,"An Ottoman military leader who played a significant role in various conquests during the 16th century, known for his strategic thinking and organization."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 15: Empires in South and Southwest Asia,Sufis,"Mystical followers of Islam who sought spiritual enlightenment through meditation, chanting, and other practices."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 15: Empires in South and Southwest Asia,Suleyman the Magnificent,"A sultan of the Ottoman Empire who reigned from 1520-1566 and is known for his military successes, artistic patronage, and expansion of trade."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 15: Empires in South and Southwest Asia,Suleymaniye,"A historic mosque in Istanbul, Turkey named after Sultan Selim I and designed by Mimar Sinan."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 15: Empires in South and Southwest Asia,Taj Mahal,"An architectural marvel located in Agra, India, that represents love and serves as the final resting place of Mughal Emperor Shah Jahan's wife."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 15: Empires in South and Southwest Asia,Topkapi palace,"A grand Ottoman imperial palace located in Istanbul, Turkey, known for its intricate architecture and historical significance as the residence of many sultans throughout history."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 15: Empires in South and Southwest Asia,Wahhabi movement,"An Islamic reform movement based in the Arabian Peninsula during the 18th century, which sought to purify Islam from what it perceived as Western influence. It led to the establishment of the State of Saudi Arabia and its ongoing global influence."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Adam Smith,Economist who introduced the concept of invisible hand in free-market economy and is known as the father of modern economics.
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,American revolution,"War fought between Great Britain and thirteen of its North American colonies, which resulted in the colonies gaining independence and forming the United States of America."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Ancien Regime,"Definition: The period of history before the French Revolution, characterized by feudalism, absolute monarchy, and limited social mobility."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Anti-Semitism,"The hatred or prejudice against Jewish people, which has led to discrimination and violence throughout history."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Baron de Motesquieu,"French Enlightenment thinker who argued for separation of powers and individual rights, his ideas influenced American and British governments."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Camillo di Cavour,"An Italian statesman who played a pivotal role in modernizing and integrating Italy as a unified nation, implementing political reforms that dismantled the Papal States."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Conservatism,"A political ideology that emphasizes traditional values, limited government intervention, and social stability, often associated with preserving established institutions and practices."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Continental Congress,"A meeting of representatives from multiple colonies/states in America during the colonial era, where decisions on governance and unity were made."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Criollos,"People of Spanish descent who were born or raised in Spanish America, often with mixed indigenous and European ancestry."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Declaration of Independence,"On July 4, 1776, the Thirteen Colonies declared independence from Great Britain and formed the United States of America."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Deists,"Belief system that emphasizes reason and rationality as a means of understanding and interacting with the divine, while rejecting organized religion."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Elizabeth Cady Stanton,"An American social reformer who fought for women's rights, including suffrage and gender equality."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Enlightenment,"A period of intellectual awakening during the 17th and 18th centuries characterized by a focus on reason, logic, science, and individual liberty."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Estates General,"An assembly of representatives from each part of France convened by the monarchy to discuss and debate major political issues. Consisted of religious leaders, the elite, and everyone else."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,French revolution,"A period of radical social and political upheaval in France from 1789 to 1799, during which the monarchy was overthrown and replaced with a republic."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Gens de couleur,"A French term used to describe mixed-race individuals during the colonial period. It refers to those who have both European and African ancestry, typically as a result of slavery or intermarriage between people from different racial backgrounds."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,George Washington,"The first president of the United States, leading the country during its early years and setting precedents for future presidents."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Giuseppe Garibaldi,"Italian revolutionary, known as the Red Shirts who fought against Austrian rule in Italy and later became Prime Minister of Italy."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Giuseppe Mazzini,"Italian activist who fought for independence, democracy, and unification of Italy in 19th century Europe."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Gran Columbia,"A federation of republics in South America, formed by the union of Venezuela, Colombia, Ecuador, and Peru in 1830. It lasted until 1831, when it was dissolved by internal conflicts and external pressures from European powers."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Haitian revolution,A successful slave revolt against French colonial rule in Haiti that led to the establishment of the first independent black republic in the Americas.
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Jean-Jacques Rousseau,"French philosopher known for his ideas on natural rights, social contract theory, and education reform."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Johann Gottfried von Herder,A German philosopher known for his emphasis on individualism and the importance of cultural diversity.
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,John Locke,"A philosopher from England whose ideas about government influenced the American Revolution and the development of modern democracy, emphasizing individual rights and consent of the governed."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Judenstaat,A state in which Jews were given special privileges or discriminated against based on their religion.
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Klemens von Metternich,"An influential Austrian statesman and diplomat who served as the Prime Minister of Austria-Hungary during the early 19th century. He played a key role in shaping European politics and policies through his staunch conservative and anti-democratic views, promoting centralization of power and maintaining peace through alliances."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Liberalism,"An ideology that advocates individual freedom, equality, with limited government intervention."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Louis XVI,"King of France from 1774 until 1793, known for his extravagance and inability to effectively govern during the French Revolution."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Mary Wollstonecraft,"A feminist philosopher who advocated for women's rights and education in the 18th century. She wrote ""A Vindication of the Rights of Woman"" to challenge the patriarchal society of her time."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Miguel Hidalgo y Costilla,"A Mexican priest and leader of a rebellion against Spanish colonial rule, which eventually led to Mexico's independence."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Napoleon Bonaparte,"An influential French Emperor who rose through military ranks during the late 18th century and left a lasting impact on Europe with his conquests and reforms, including the Napoleonic Code."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Nationalism,"A political ideology that advocates for the interests, rights, and sovereignty of a particular nation or ethnic group over others. It often involves promoting patriotism, national identity, and a sense of unity among citizens."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Olympe de Gouges,"French political activist who authored the Declaration of the Rights of Woman and the Female Citizen, advocating for gender equality during the French Revolution."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Otto von Bismarck,A German statesman and Chancellor of Germany in the late 19th century who is known for his role in the unification of Germany.
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Peninsulares,"Spanish explorers who established colonies in America, often with a centralized government and control by Spain."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Philosophes,"Influential thinkers and writers who promoted new ideas during the Age of Enlightenment, challenging traditional beliefs."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Realpolitik,"An approach to international relations that focuses on practical considerations such as power, self-interest, and national security rather than moral or ethical principles."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Reign of terror,"A period during French Revolution characterized by extreme violence, executions, and political repression."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Simon Bolivar,"The young military leader who led an effort to liberate Spanish colonies from Spanish rule and founded a new nation, Venezuela."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,The Social Contract,"An agreement or contract between people, governing their social and political relationships within a society."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Suffrage,"The right or permission to vote in political elections, granted based on citizenship or equal status."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Theodor Herzl,"An Austrian-Jewish political leader who founded the Zionist movement, which advocated for the establishment of a Jewish homeland in Palestine. He is widely regarded as the father of modern Israel and his writings on national liberation and self-determination continue to inspire movements around the world."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Toussaint Louverture,A Haitian leader who led an independence movement against French colonial rule and is considered one of the founding fathers of Haiti.
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Unification of Germany,"A series of political, economic, social and territorial changes that eventually resulted in the creation of a single German state."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Unification of Italy,"The process by which various Italian states were merged into one unified nation-state during the 19th century, led by King Victor Emmanuel II and supported by Giuseppe Garibaldi."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Volksgeist,"A German concept that refers to the shared cultural, moral, and intellectual characteristics of a nation or people. It embodies the collective spirit and identity of a group through their customs, traditions, and beliefs."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Voltaire,"French Enlightenment thinker who advocated freedom of speech, religion, and reason."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Waterloo,The site of a famous battle during the Napoleonic Wars that marked the end of Napoleon's rule and reshaped Europe.
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,William Wilberforce,"An important figure from English history, known for his efforts to abolish slavery and improve working conditions for laborers during the late 18th century. He played a significant role in passing the Slavery Abolition Act of 1833 in Britain."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 16: Revolutions and National States in the Atlantic World,Zionism,"The belief and movement that supports the creation of a Jewish homeland in Palestine, promoting unity among Jews worldwide."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 17: The Making of Industrial Society,Cartels,Organizations of competing producers or suppliers forming a cooperative alliance to control prices.
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 17: The Making of Industrial Society,Child labor,"Labor performed by children, often under exploitative conditions, instead of attending school or engaging in other activities suitable for their age."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 17: The Making of Industrial Society,Communist Manifesto,A book written by Karl Marx and Friedrich Engels that advocates for the overthrow of capitalism and the establishment of a communist society based on shared ownership.
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 17: The Making of Industrial Society,Corporations,"An entity formed by a group of individuals to pursue common economic interests, typically with legal rights and obligations."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 17: The Making of Industrial Society,Crystal Palace,"An enclosed, glass-covered building designed by Joseph Paxton as the Great Exhibition of 1851 in London, used for showcasing inventions and artworks during the Victorian era."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 17: The Making of Industrial Society,Demographic transition,Concept used to describe the shift from high mortality and fertility rates to low mortality and fertility rates as a country develops economically.
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 17: The Making of Industrial Society,Eli Whitney,"An American inventor who revolutionized cotton production with his invention of the cotton gin, leading to mass industrialization and the growth of slavery in the United States."
